year,aqi
2001.0,19.0
2001.0,
2001.0,23.0
2001.0,
2001.0,22.0
2001.0,
2001.0,20.0
2001.0,
2001.0,25.0
2001.0,
2001.0,18.0
2001.0,
2001.0,17.0
2001.0,
2001.0,19.0
2001.0,
2001.0,19.0
2001.0,
2001.0,17.0
2001.0,
2001.0,18.0
2001.0,
2001.0,23.0
2001.0,
2001.0,15.0
2001.0,
2001.0,14.0
2001.0,
2001.0,23.0
2001.0,
2001.0,29.0
2001.0,
2001.0,32.0
2001.0,
2001.0,36.0
2001.0,
2001.0,34.0
2001.0,
2001.0,30.0
2001.0,
2001.0,27.0
2001.0,
2001.0,32.0
2001.0,
2001.0,31.0
2001.0,
2001.0,27.0
2001.0,
2001.0,30.0
2001.0,
2001.0,33.0
2001.0,
2001.0,12.0
2001.0,
2001.0,14.0
2001.0,
2001.0,11.0
2001.0,
2001.0,17.0
2001.0,
2001.0,25.0
2001.0,
2001.0,22.0
2001.0,
2001.0,21.0
2001.0,
